READDI ID,Compound Name from Primary Screen (384),TimTech ID,Reorder 96-well Position,TT 384 Custom LDV Position,Brutto Formula,IUPAC NAME,SMILES,Primary SARS2  FRET Screen (10uM) Avg % of DMSO,Reorder SARS2 FRET Screen (10uM) Ave % of DMSO,Reorder SARS2 IC50 Curve FRET (10uM) Avg % of DMSO,Estimated IC50 (From 4 Point Curve),SARS2 NSP Complex FRET (10 uM) Average %,NSP15 FRET (10uM) Average % DMSO,SARS1 FRET (10uM) Average % DMSO,OC43 FRET (10uM) Average % DMSO,MERS FRET (10uM) Average % DMSO,229E FRET (10uM) Average % DMSO,MHV FRET (10uM) Average % DMSO,A549 CTG Toxicity (20uM) % DMSO,A549 CTG Toxicity Repeat (10uM) % DMSO,SARS-CoV-2 A549 (10uM) Low MOI %Virus,SARS-CoV-2 A549 (10uM) Low MOI %Cells,OC43 A549 (10uM) Low MOI %Virus,OC43 A549 (10uM) Low MOI %Cells,OC43 A549 (25 uM) Low MOI %Virus,OC43 A549 (25 uM) LOW MOI %Cells,OC43 A549 (10uM) High MOI %Virus,OC43 A549 (10uM) High MOI %Cells
RA-0020177-01,87-I6,ST056996,P1-A8,A15,C22H17N3O6S,"4-(5-{[(4E)-1-(4-carbamoylphenyl)-3-methyl-5-oxo-4,5-dihydro-1H-pyrazol-4-ylidene]methyl}furan-2-yl)benzene-1-sulfonic acid",CC(C1=CC2=CC=C(C3=CC=C(S(O)(=O)=O)C=C3)O2)=NN(C4=CC=C(C(N)=O)C=C4)C1=O,8.2,88.8,79.9,Undefined,90.6,101.3,95.9,87.6,77.4,81.1,95.3,71,114.6,91.6,121.7,87.6,114.6,115.5,115.7,104.3,132.4
RA-0020178-01,17-G18,ST082942,P1-H3,O5,C12H10FN3OS,"2-amino-7-(2-fluorophenyl)-4,6,7-trihydro-1,3-thiazolo[4,5-b]pyridin-5-one",NC1=NC(NC(CC2C3=CC=CC=C3F)=O)=C2S1,59.4,89.5,105.6,Undefined,92.1,95.5,75,101.3,97,96.1,82.3,103.7,86.8,125.2,127.1,92.1,100.2,88.2,106.6,135,124.3
RA-0020179-01,23-E20,ST000613,P1-E8,I15,C19H14F6N4,(6-methyl-2-{[3-(trifluoromethyl)phenyl]amino}pyrimidin-4-yl)[3-(trifluorometh yl)phenyl]amine,CC1=NC(NC2=CC(C(F)(F)F)=CC=C2)=NC(NC3=CC(C(F)(F)F)=CC=C3)=C1,50,89.8,97.2,Undefined,96.1,92.5,85.7,92.1,98.1,96.7,85.7,89.6,119.1,181.7,141.4,125.1,123.8,88.1,107.9,135.3,120.1
RA-0020180-01,4-B15,ST047887,P1-G11,M21,C18H13ClN2OS,6-chloro-2-methylthio-5-(2-naphthyloxy)benzimidazole,CSC(N1)=NC2=C1C=C(Cl)C(OC3=CC4=CC=CC=C4C=C3)=C2,58.5,90,98.6,Undefined,91,93.3,87.8,82.6,78,96.8,83.8,94.8,98.8,85.6,89.5,61.5,104.6,63.2,98.7,52,72.1
RA-0020181-01,132-A16,ST082260,P2-B7,C14,C25H24N6O,"4-{6-[6-(4-methylpiperazin-1-yl)-1H-1,3-benzodiazol-2-yl]-1H-1,3-benzodiazol-2-yl}phenol",CN1CCN(CC1)C2=CC3=C(C=C2)N=C([NH]3)C4=CC5=C([NH]C(=N5)C6=CC=C(O)C=C6)C=C4,62.4,90.3,86.8,Undefined,93.5,91,87.9,88.5,95.5,87.4,80.5,92.4,76,135.4,120.4,118.3,128,142.8,151.4,119.3,126.6
RA-0020182-01,115-C7,S500704,P1-F12,K23,C20H18O5,2-(6-hydroxy-3-oxo-3H-xanthen-9-yl)cyclohexane-1-carboxylic acid,OC(C1CCCCC1C(C2=C(O3)C=C(O)C=C2)=C4C3=CC(C=C4)=O)=O,56.3,90.4,90.9,Undefined,93,93.8,92.3,92.8,89.2,99.2,87.8,92.2,103.5,106.9,91.2,71.6,111.7,82.4,94.9,54.6,52.2
RA-0020183-01,7-P4,ST066699,P1-G5,M9,C21H17Br2N5OS2,"N-(3,5-dibromo(2-pyridyl))-2-(3-cyano-6-methyl-4-(3-thienyl)(5,6,7,8-tetrahydr opyridino[5,6-c]pyridin-2-ylthio))acetamide",CN(C1)CCC2=C1C(C3=CSC=C3)=C(C#N)C(SCC(NC4=NC=C(C=C4Br)Br)=O)=N2,57.3,91.6,90.1,Undefined,95,93.8,83.6,95.9,71.2,93.5,85.6,97.5,117.5,54.8,51.5,74,107.2,54.5,109.3,78.6,89.2
RA-0020184-01,141-O6,ST095273,P2-C2,E4,C15H16N2O2,"5-acetyl-2,4-dimethyl-N-phenyl-1H-pyrrole-3-carboxamide
",CC(=O)C1=C(C)C(=C(C)[NH]1)C(=O)NC2=CC=CC=C2,7.3,92.3,104.1,Undefined,99.4,94.4,82.3,107.8,88.4,97.9,82.8,97.3,84.7,112.3,109.6,93.1,90.8,76.4,131.7,118.4,93.4
RA-0020185-01,3-J10,ST034056,P1-C11,E21,C20H21BrN2O4,"5-[(5-bromo-2-methoxyphenyl)methylene]-1-(2-cyclohex-1-enylethyl)-1,3-dihydrop yrimidine-2,4,6-trione",COC1=CC=C(C=C1C=C(C2=O)C(NC(N2CCC3=CCCCC3)=O)=O)Br,39.8,92.4,100,Undefined,94.9,90.6,94.3,91.1,85.3,96.8,93,86.2,103.1,89.3,108.1,72.6,151.3,101,137.5,94.9,116
RA-0020186-01,95-C17,ST069093,P1-H7,O13,C18H22N2O3S,"(5Z)-5-[(3-ethoxy-4-hydroxyphenyl)methylidene]-2-(4-methylpiperidin-1-yl)-4,5-dihydro-1,3-thiazol-4-one",CCOC1=CC(C=C2SC(N3CCC(CC3)C)=NC2=O)=CC=C1O,60.8,92.5,107,Undefined,91.3,94.5,81.3,97.5,96.2,98.5,78.3,94.3,96.3,184.4,113.5,102.3,111.5,204.8,121.7,113,99
RA-0020187-01,104-E3,L320129,P1-F4,K7,C15H10Cl2N2O4,"(E)-[(2H-1,3-benzodioxol-5-yl)methylidene]amino N-(3,4-dichlorophenyl)carbamate",ClC1=CC=C(C=C1Cl)NC(ON=CC2=CC3=C(OCO3)C=C2)=O,54.7,93.4,93.7,Undefined,100.5,96.7,83.8,104.2,102.6,100.3,86.5,119,125,104.1,141.9,72.5,109.1,88.3,120.1,103,81.7
RA-0020188-01,76-I07,ST041914,P2-A4,A8,C15H11BrClN3OS,"2-[(6-bromo-1H-1,3-benzodiazol-2-yl)sulfanyl]-N-(4-chlorophenyl)acetamide",ClC1=CC=C(NC(=O)CSC2=NC3=CC=C(Br)C=C3[NH]2)C=C1,65.5,95.5,104.5,Undefined,92.8,91.4,82.1,86.8,98.3,89.3,79.1,92.2,90.3,200.1,95.4,122.6,94.2,122.9,133.3,160.6,134.7
RA-0020189-01,119-P20,ST027545,P1-G7,M13,C6H9N3,"benzene-1,3,5-triamine",NC1=CC(N)=CC(N)=C1,57.8,95.6,101.1,Undefined,91,87.9,86.1,95.8,99.1,101.1,84.6,85.6,111.2,41.6,63.8,70.1,108.1,61.3,103.3,84.1,96.8
RA-0020190-01,10-J11,ST071688,P2-B2,C4,C22H17N5OS,"11,15-diamino-2-oxo-1-(2-phenylethyl)spiro[indoline-3,4'-thiin]-12,14-dicarbon itrile",NC1=C(C#N)C2(C(=O)N(CCC3=CC=CC=C3)C4=C2C=CC=C4)C(=C(N)S1)C#N,65.7,95.8,120.7,Undefined,98.6,96.9,83.7,102.7,92.4,95.4,85.9,102.8,70.9,86.5,108.5,73.1,97.9,56.9,103.7,125.3,125
RA-0020191-01,156-M6,ST104405,P2-D7,G14,C18H17ClF3N4O6S,3-[(acetyloxy)methyl]-7-{2-[4-chloro-5-methyl-3-(trifluoromethyl)-1H-pyrazol-1-yl]propanamido}-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylate,CC([N]1N=C(C(=C1C)Cl)C(F)(F)F)C(=O)NC2C3SCC(=C(N3C2=O)C([O-])=O)COC(C)=O,49.4,96.5,107.9,Undefined,98.9,95.7,94.9,80.2,87.9,99.5,75.9,97.9,100.3,120.4,118.8,101.1,128.3,164.8,169.1,109.1,93
RA-0020192-01,56-F17,ST011984,P1-F8,K15,C14H15Cl2N3,"3,6-diamino-10-methylacridin-10-ium hydrochloride chloride",C[N+]1=C2C=C(C=CC2=CC3=C1C=C(N)C=C3)N,55.6,96.7,85.7,Undefined,103.5,92.2,95.8,85.2,78.5,105.9,84,92.7,104.5,2511.9,43.3,1282.8,82.9,929.4,8.8,684.2,40.5
RA-0020193-01,99-I7,ST073707,P1-G6,M11,C10H12N4O2,"7-(morpholin-4-yl)-2,1,3-benzoxadiazol-4-amine",NC1=CC=C(C2=NON=C12)N3CCOCC3,57.4,97.2,104.2,Undefined,92.3,89.8,84.3,95.7,93.4,99.5,87,105.6,118.8,50.1,48.5,67.4,91.1,59.6,72.9,84.4,87.3
RA-0020194-01,112-I14,ST085646,P2-B9,C18,C18H15N3O2S,"7-(4-hydroxyphenyl)-2-(phenylamino)-4H,5H,6H,7H-[1,3]thiazolo[4,5-b]pyridin-5-one",OC1=CC=C(C=C1)C2CC(=O)NC3=C2SC(=N3)NC4=CC=CC=C4,36.8,97.3,121.3,Undefined,96,90.2,95.1,90.2,88.8,92.6,92.9,86.1,97.1,147.3,106.1,102,97.5,172.9,123.9,111.5,113.5
RA-0020195-01,82-E20,ST051023,P1-F2,K3,C23H22N2OS,"4-(cyclohex-3-en-1-yl)-2-[(2-oxo-2-phenylethyl)sulfanyl]-5H,6H,7H-cyclopenta[b]pyridine-3-carbonitrile",O=C(C1=CC=CC=C1)CSC2=C(C#N)C(C3CCC=CC3)=C4C(CCC4)=N2,53.7,98.1,105.4,Undefined,91.2,91.8,82.4,99.2,106.1,99.7,82.5,106.3,121.7,114.3,97,58.9,105.5,72.3,126.2,85.1,103
RA-0020196-01,6-I3,ST056982,P1-C8,E15,C14H11N3O5S,"5-(5-{(1Z)-2-[(aminothioxomethyl)amino]-2-azavinyl}-2-furyl)benzene-1,3-dicarb oxylic acid",NC(NN=CC1=CC=C(C2=CC(C(O)=O)=CC(C(O)=O)=C2)O1)=S,35.6,99.3,106.5,Undefined,102.2,93.1,98,100.7,100.8,98.2,93,91.2,118,106,137.6,77.5,124.2,154.2,148.4,104.6,131.5
RA-0020197-01,55-K15,ST008168,P1-G8,M15,C26H24N4O3,4-[(5-hydroxy-3-methyl-1-phenylpyrazol-4-yl)(5-methyl(2-furyl))methyl]-3-methy l-1-phenylpyrazol-5-ol,CC1=CC=C(C(C(C(C)=NN2C3=CC=CC=C3)=C2O)C(C(C)=NN4C5=CC=CC=C5)=C4O)O1,57.9,99.7,88.3,Undefined,97.6,91.2,92.3,98.5,98.4,103.2,87.5,108,111.8,74.2,82.8,67.2,99.2,51.4,100.4,84.3,99.8
RA-0020198-01,23-E18,ST093060,P2-B11,C22,C15H16BF4N3S,3-(dimethylamino)-7-(methylamino)-5λ⁴-phenothiazin-5-ylium; tetrafluoroboranuide,CNC1=CC2=C(C=C1)N=C3C=CC(=CC3=[S+]2)N(C)C.F[B-](F)(F)F,63.9,100.5,113.3,Undefined,101.7,98.2,99.9,94.3,93.3,97.7,99.5,85,93.5,112.7,106.9,60.4,125.5,121.2,111.1,70.5,104
RA-0020199-01,10-H7,ST071649,P2-A11,A22,C21H16Cl2N4O2S,"2,6-diamino-4-{4-[(3,4-dichlorophenyl)methoxy]-3-methoxyphenyl}-4H-thiin-3,5-d icarbonitrile",COC1=CC(=CC=C1OCC2=CC(=C(Cl)C=C2)Cl)C3C(=C(N)SC(=C3C#N)N)C#N,63.3,100.7,123.2,Undefined,101.9,102.2,101.7,94.2,91.1,98.1,103,84.8,102.7,111.2,108.8,107.7,91.3,158.2,148.6,92.9,95.6
RA-0020200-01,27-N8,ST072425,P2-B3,C6,C14H13NO3,"4-morpholin-4-ylnaphthalene-1,2-dione",O=C1C=C(N2CCOCC2)C3=CC=CC=C3C1=O,61.8,102.7,122.5,Undefined,96.4,89.2,85.5,99.4,92.8,94.9,85.3,98.7,81.4,135.4,120.3,93.4,98.6,101.8,137.1,134.5,124
RA-0020201-01,136-H11,ST085854,P1-F10,K19,C10H10N2O4S,"4-(3-methyl-5-oxo-4,5-dihydro-1H-pyrazol-1-yl)benzene-1-sulfonic acid",CC(C1)=NN(C2=CC=C(S(O)(=O)=O)C=C2)C1=O,55.9,102.7,92.9,Undefined,102.2,98.4,97.8,102.9,100.7,105.1,94.6,109.7,118.4,88.3,124.7,75.4,131.1,81.7,119.1,83.3,97
RA-0020202-01,17-I16,ST082932,P1-E5,I9,C14H15N3O3S,"2-amino-7-(2,4-dimethoxyphenyl)-4,6,7-trihydro-1,3-thiazolo[4,5-b]pyridin-5-on e",COC1=CC(OC)=C(C2CC(NC3=C2SC(N)=N3)=O)C=C1,49.3,103.1,99.3,Undefined,102.5,94.8,87,111.6,108.2,103.1,87.4,92.6,125,89.8,136.7,84.3,129.5,103.2,143.4,105.6,123.3
RA-0020203-01,94-N14,ST068774,P1-D8,G15,C8H4BrNOS3,"(5Z)-5-[(5-bromothiophen-2-yl)methylidene]-2-sulfanyl-4,5-dihydro-1,3-thiazol-4-one",SC(S1)=NC(C1=CC(S2)=CC=C2Br)=O,45.4,105.3,109.6,Undefined,101.6,94.6,94.9,98.6,91,98.8,92.6,91.4,115.5,87.6,131.1,81.9,116.1,69.1,130.1,104.6,117
RA-0020204-01,13-N19,ST076674,P2-B4,C8,C16H17ClN2O3,"1-(3,5-dimethylphenyl)-4-chloro-3-morpholin-4-ylazoline-2,5-dione",CC1=CC(=CC(=C1)C)N2C(=O)C(=C(N3CCOCC3)C2=O)Cl,63.7,105.7,107.2,Undefined,96.4,91.4,89.5,100,95.4,95.5,86.6,100.6,91.5,109.5,89.4,104.5,93,127.4,136.2,149.8,122.4
RA-0020205-01,119-C14,ST024518,P1-B8,C15,C21H19Cl2NO3,"2-phenylethyl 4-(2,4-dichlorophenyl)-2-methyl-6-oxo-1,4,5,6-tetrahydropyridine-3-carboxylate",CC(N1)=C(C(OCCC2=CC=CC=C2)=O)C(C3=CC=C(C=C3Cl)Cl)CC1=O,20,105.8,117.9,Undefined,102.9,95.5,100.5,89.5,97.2,100.5,94.3,76.8,120.3,100.1,126.5,85.4,122.5,161.7,148.7,123.2,138.3
RA-0020206-01,62-F22,ST024334,P2-A3,A6,C16H10Cl2N6O,"N5,N6-bis(4-chlorophenyl)-[1,2,5]oxadiazolo[3,4-b]pyrazine-5,6-diamine",ClC1=CC=C(NC2=NC3=NON=C3N=C2NC4=CC=C(Cl)C=C4)C=C1,65.8,106,105.4,Undefined,98.1,92.8,90.6,100.2,88.4,94.5,86.6,97.6,91.4,117.9,124.4,102.4,99.9,84.6,143.1,134.6,132.2
RA-0020207-01,159-C11,ST082651,P2-B8,C16,C16H16ClN3O,"N-(5-chloropyridin-2-yl)-2-(1,2,3,4-tetrahydroisoquinolin-2-yl)acetamide",ClC1=CN=C(NC(=O)CN2CCC3=C(C2)C=CC=C3)C=C1,8.1,106.3,126.8,Undefined,95.7,91.5,97.4,91.3,94.8,96.5,93.5,91.5,88.1,148.6,115.4,108.3,102.6,134.6,132.2,119.2,117.9
RA-0020208-01,90-K7,ST059888,P2-A10,A20,C9H5N3O2,"1H,6H,7H,8H-pyrrolo[2,3-g]indazole-7,8-dione",O=C1NC2=C(C1=O)C3=C(C=C2)C=N[NH]3,63,108.8,122.7,Undefined,103.3,102.2,100.3,97.9,96.4,97,101.4,80.9,102.4,131.7,115.3,90.2,112.8,158.2,158.4,114.6,110.7
RA-0020209-01,62-J10,ST024156,P1-A9,A17,C12H13N3O3S,5-amino-2-[(4-aminophenyl)amino]benzene-1-sulfonic acid,NC1=CC=C(NC2=CC=C(C=C2S(O)(=O)=O)N)C=C1,8.2,110.2,94.6,Undefined,101.9,105.3,102.6,91.3,88.4,98.4,100.6,75.7,104.9,92,112.6,97,134.3,101.3,121.9,97.2,121
RA-0020210-01,6-M13,ST058342,P2-A7,A14,C11H7N3O2S,"7-(2-thienyl)-8-hydropyrazolo[1,5-a]pyrimidine-3-carboxylic acid",OC(=O)C1=C2N=CC=C([N]2N=C1)C3=CC=CS3,62,110.3,111.1,Undefined,103.2,100.4,101.8,102.5,97.5,96.5,98.5,93.9,90.9,147.1,113.2,106.2,114.5,151.1,154.1,138.3,125.6
RA-0020211-01,12-H6,ST074518,P1-D7,G13,C18H25N3O,1-(tert-butyl)-4-(1-propylbenzimidazol-2-yl)pyrrolidin-2-one,CCCN1C(C(C2)CN(C(C)(C)C)C2=O)=NC3=C1C=CC=C3,45.3,111.2,118.2,Undefined,99.1,88.3,93.8,106.4,98.4,102,90.2,93.5,111.5,117.9,138.6,80,132.7,108.6,142.5,116.6,128
RA-0020212-01,41-K06,ST50663560,P1-A3,A5,C16H14N6O5,"5-({1-[(4-carboxyphenyl)methyl]-1H-1,2,4-triazol-3-yl}carbamoyl)-1-methyl-1H-pyrazole-4-carboxylic acid",CN1N=CC(C(O)=O)=C1C(NC2=NN(CC3=CC=C(C(O)=O)C=C3)C=N2)=O,5.7,111.3,105.3,Undefined,102.2,98.6,89.6,105.6,98.2,98.3,87.6,79.5,106.5,60.8,88.9,92.2,122.7,87.5,132.4,111.4,124.5
RA-0020213-01,15-N14,ST080683,P2-B6,C12,C24H28ClN3,"(4-{[4-(dimethylamino)phenyl][4-(methylamino)phenyl]methylene}cyclohexa-2,5-di enylidene)dimethylamine, chloride",[Cl-].CNC1=CC=C(C=C1)C(C2=CC=C(C=C2)N(C)C)=C3C=CC(C=C3)=[N+](C)C,63.3,112.1,105.2,Undefined,104.2,96.8,98,102.8,100.8,100.1,93.5,105.6,84.5,157.7,121,109.4,121.7,152.4,144.9,129.6,108.4
RA-0020214-01,86-F17,ST056361,P2-A6,A12,C18H14O8,"2,3,3-trihydroxy-2-(2,3,3-trihydroxy-1-oxoindan-2-yl)indan-1-one",OC1(O)C2=CC=CC=C2C(=O)C1(O)C3(O)C(=O)C4=C(C=CC=C4)C3(O)O,64.1,112.3,111.9,Undefined,105.4,99.7,100.6,100.7,107.5,97.8,97.7,89.9,86.9,135.3,116,110.5,108.5,134.5,147.7,133.3,124.3
RA-0020215-01,4-D8,ST049380,P2-A5,A10,C32H20BrN3OS,"2-{[1-(4-bromophenyl)-2,5-diphenylpyrrol-3-yl]methylene}-1,3-thiazolidino[3,2- a]benzimidazol-3-one",BrC1=CC=C(C=C1)[N]2C(=CC(=C2C3=CC=CC=C3)\C=C4/SC5=NC6=C(C=CC=C6)[N]5C4=O)C7=CC=CC=C7,61.7,115.2,108.6,Undefined,104.7,99.8,96.5,105,99.6,99,92.7,90.1,85.5,124.8,123.9,93.6,97.1,129.5,151.5,137.8,131.5
