READDI ID,Compound Name from Primary Screen (384),TimTech ID,Reorder 96-well Position,TT 384 Custom LDV Position,Brutto Formula,IUPAC NAME,SMILES,Primary SARS2  FRET Screen (10uM) Avg % of DMSO,Reorder SARS2 FRET Screen (10uM) Ave % of DMSO,Reorder SARS2 IC50 Curve FRET (10uM) Avg % of DMSO,Estimated IC50 (From 4 Point Curve),SARS2 NSP Complex FRET (10 uM) Average %,NSP15 FRET (10uM) Average % DMSO,SARS1 FRET (10uM) Average % DMSO,OC43 FRET (10uM) Average % DMSO,MERS FRET (10uM) Average % DMSO,229E FRET (10uM) Average % DMSO,MHV FRET (10uM) Average % DMSO,A549 CTG Toxicity (20uM) % DMSO,A549 CTG Toxicity Repeat (10uM) % DMSO,SARS-CoV-2 A549 (10uM) Low MOI %Virus,SARS-CoV-2 A549 (10uM) Low MOI %Cells,OC43 A549 (10uM) Low MOI %Virus,OC43 A549 (10uM) Low MOI %Cells,OC43 A549 (25 uM) Low MOI %Virus,OC43 A549 (25 uM) LOW MOI %Cells,OC43 A549 (10uM) High MOI %Virus,OC43 A549 (10uM) High MOI %Cells
RA-0020098-01,48-A21,ST078868,P1-C2,E3,C12H6N2O2,"5,6-dihydro-1,10-phenanthroline-5,6-dione",O=C1C(C2=CC=CN=C2C3=C1C=CC=N3)=O,26.9,22.5,27.5,9.709,55.4,15.6,33.9,28.3,37.1,5.4,41.3,34.6,67,1.9,48.8,8.7,35.2,8.4,10.3,19.3,49
RA-0020099-01,130-L9,S480037,P1-B6,C11,C18H11NO3,"

2-(3-hydroxyquinolin-2-yl)-2,3-dihydro-1H-indene-1,3-dione
",OC1=CC2=CC=CC=C2N=C1C3C(C4=CC=CC=C4C3=O)=O,16.6,23.2,60.8,Undefined,88.6,88.3,72.5,60.2,36.6,47.2,5.5,81.1,113.5,82.8,133.3,89.5,112.8,117,146.2,123.6,139.6
RA-0020100-01,15-P14,ST080684,P1-D11,G21,C27H34N2O4S,"4-{[4-diethylamino)phenyl](phenyl)methylidene}-N,N-diethylcyclohexa-2,5-dien-1-iminium ",CC/[N+](CC)=C1C=C/C(C=C\1)=C(C2=CC=CC=C2)\C3=CC=C(C=C3)N(CC)CC,46.2,23.5,23,3.9,64.4,90.1,47.1,52.4,38.1,19,37.1,6.1,13.7,2.2,9.4,75,3.3,33.1,0.2,4.7,6.5
RA-0020101-01,87-O4,ST056985,P1-C4,E7,C23H14N4O3S3,"4-{5-[(1Z)-2-(1,3-benzothiazol-2-yl)-2-cyanoeth-1-en-1-yl]furan-2-yl}-N-(1,3-thiazol-2-yl)benzene-1-sulfonamide",O=S(C1=CC=C(C=C1)C(O2)=CC=C2/C=C(C#N)\C3=NC4=CC=CC=C4S3)(NC5=NC=CS5)=O,30.8,24,57.2,Undefined,84.2,92.9,76.2,46.2,47.1,87.7,33.2,94.9,109.6,120.9,137,100.4,140.1,397.5,128.3,128.2,138.1
RA-0020102-01,144-K5,ST096802,P2-C10,E20,C17H13Cl2N3O,"1-(3,4-dichlorophenyl)-3-(2-methylquinolin-4-yl)urea
",CC1=NC2=CC=CC=C2C(=C1)NC(=O)NC3=CC(=C(Cl)C=C3)Cl,24.2,26.6,37.5,2.366,49.2,90,31.6,51.1,69.1,39.6,35.5,71.2,78.8,130,113.3,59,72,12.3,75.4,108.6,80.5
RA-0020103-01,144-M7,ST096813,P2-C11,E22,C12H8Cl3N3O,"3-(2-chloropyridin-4-yl)-1-(3,4-dichlorophenyl)urea
",ClC1=CC(=CC=N1)NC(=O)NC2=CC(=C(Cl)C=C2)Cl,30.2,27.7,43.1,2.227,38.1,91.7,32.8,43.4,65.9,31.8,42.6,69.3,76.9,2.6,75.8,37.5,90.2,87.8,33,26.5,68.7
RA-0020104-01,106-O19,ST039458,P1-A10,A19,C14H12F6N2OS,"N-(3-cyano-6-methyl-4,5,6,7-tetrahydro-1-benzothiophen-2-yl)-3,3,3-trifluoro-2-(trifluoromethyl)propanamide",CC1CCC2=C(SC(NC(C(C(F)(F)F)C(F)(F)F)=O)=C2C#N)C1,8.9,30.9,44.3,2.412,66.8,99.7,46.6,32.5,36.7,15.6,67.4,81.1,108.1,101.4,119.3,79.5,117.2,97.6,117.7,92.3,120.5
RA-0020105-01,16-M9,ST081120,P1-F1,K1,C19H19ClO6,"diethyl 2-(3-chloro-1,4-dioxo(2-naphthyl))-2-ethylpropane-1,3-dioate",O=C(C(C(C1=O)=C(C(C2=C1C=CC=C2)=O)Cl)(C(OCC)=O)CC)OCC,53.6,31.3,44.5,Undefined,66.2,76,60.7,46.5,34.2,13.7,58,97.1,93.6,69.4,73.3,55.1,54.1,62,99.7,81.1,69.8
RA-0020106-01,37-I17,ST50598522,P1-E9,I17,C19H16BrN7OS,"N-(3-bromophenyl)-2-({5-[(2E)-2-[(1H-indol-3-yl)methylidene]hydrazin-1-yl]-4H-1,2,4-triazol-3-yl}sulfanyl)acetamide",O=C(CSC(N1)=NN=C1N/N=C/C2=CNC3=C2C=CC=C3)NC4=CC=CC(Br)=C4,50.6,33,57,Undefined,63.9,93.1,44.5,46.2,50.4,59.7,46.3,89.9,115.6,11.7,101.5,86.8,117,33.8,57.3,52.6,73.5
RA-0020107-01,100-C16,ST075164,P1-B11,C21,C23H23IN2S2,"3-ethyl-2-[(1E,3E)-5-[(2E)-3-ethyl-2,3-dihydro-1,3-benzothiazol-2-ylidene]penta-1,3-dien-1-yl]-1,3-benzothiazol-3-ium iodide",CCN1C(SC2=CC=CC(I)=C12)/C=C/C=C/C=C3SC4=CC=CC=C4N3CC,22.8,33.3,39.2,2.723,58.5,120.7,62.7,18.9,49.4,81.3,25.9,47.1,65.7,32.6,15.4,1270.1,79.1,935.3,39.6,818.4,86.7
