Compound Name (384),TimTech ID,Custom TT 96 Position,TT 384 Custom LDV Position,Primary FRET Screen Avg %,Reorder FRET Screen (10uM) Average %,IC50 Curve FRET (10uM) Avg %,NSP15 FRET (10uM) Average % ,SARS FRET (10uM) Average %,OC43 FRET (10uM) Average %,MERS FRET (10uM) Average %,229E FRET (10uM) Average %,MHV FRET (10uM) Average %,A549 CTG Toxicity (20uM) % DMSO,A549 CTG Toxicity Repeat (10uM) % DMSO,OC43 A549 (10uM) Low MOI %Virus,OC43 A549 (10uM) Low MOI %Cells,OC43 A549 (10uM) High MOI %Virus,OC43 A549 (10uM) High MOI %Cells,SARS-CoV-2 A549 (10uM) Low MOI %Virus,SARS-CoV-2 A549 (10uM) Low MOI %Cells,Estimated IC50 (From 4 Point Curve)
30-I7,ST080595,P1-B2,C3,12.6,64.3,81.7,86.4,65.4,62.8,36.1,64.7,24.8,69.7,107.2,73.2,104.7,116.1,121.7,133.1,123.3,
17-N7,ST083141,P1-A6,A11,7.3,66.8,13.7,16.1,43.6,11.8,32.8,4.6,23.8,72.0,114.7,82.9,111.1,105.6,135.4,90.9,136.8,2.63
21-C4,ST088252,P1-F9,K17,55.8,67.1,74.3,94.7,72.2,83.5,93.9,84.9,75.7,92.1,98.5,116.0,131.2,126.4,71.1,50.2,115.2,
75-I14,ST040794,P1-G9,M17,58.0,67.6,69.1,95.5,58.7,74.8,81.1,67.1,69.5,88.7,99.7,68.4,120.7,82.5,91.7,22.8,91.6,
3-L15,ST032087,P1-D5,G9,43.2,67.6,64.8,82.5,75.0,58.8,39.9,15.4,41.2,90.9,111.5,79.4,110.8,114.7,136.0,99.1,142.8,
28-M10,ST075671,P1-E12,I23,53.1,67.8,82.9,91.8,79.3,76.6,73.0,92.5,78.1,75.4,98.2,58.6,100.1,57.1,65.1,120.9,99.3,
3-I17,ST025568,P1-B4,C7,13.6,68.4,64.1,91.9,67.2,64.9,40.3,21.9,74.7,81.2,116.0,85.5,98.4,119.2,133.6,102.9,145.3,
88-E16,ST058245,P1-D12,G23,47.0,69.9,79.3,91.8,73.2,78.3,83.7,83.9,78.3,67.9,101.2,62.3,119.7,61.5,69.5,97.3,77.9,
133-C3,ST083079,P1-F6,K11,55.5,70.4,67.5,92.0,80.7,85.4,55.0,73.2,76.9,108.4,124.0,82.7,91.1,93.8,92.9,73.1,127.2,
87-D20,ST057751,P1-G4,M7,57.0,71.2,70.2,89.3,75.9,76.8,36.3,14.4,83.0,110.3,127.9,30.3,84.1,60.3,92.1,11.7,38.0,
157-F5,ST105210,P2-D10,G20,60.8,71.3,75.3,94.4,80.0,74.4,83.6,89.1,80.4,97.7,92.5,129.5,104.2,142.4,78.3,19.2,105.1,
87-A18,ST057208,P1-D3,G5,42.0,73.8,67.5,93.9,81.9,101.6,63.5,88.5,85.0,85.9,115.2,94.4,132.9,113.1,128.4,86.1,101.3,
67-O05,ST029248,P1-H6,O11,60.6,74.6,95.7,90.9,73.3,83.3,86.1,95.0,70.7,91.9,86.4,90.3,107.6,91.8,99.5,67.6,119.1,
76-M17,ST042035,P1-F3,K5,53.9,75.3,85.3,99.6,67.6,95.6,102.0,92.7,69.5,109.6,109.6,76.9,106.1,100.3,92.8,100.9,117.0,
120-D13,ST030723,P1-E4,I7,48.4,75.6,72.2,93.8,66.6,100.1,103.4,87.5,73.0,97.4,114.5,75.7,109.3,95.2,99.8,62.4,121.4,
4-K14,ST041923,P1-H5,O9,60.2,75.8,76.4,98.9,79.1,100.5,94.2,95.7,84.6,97.2,88.5,103.3,116.8,125.8,113.9,139.0,124.4,
2-D20,ST021451,P1-D4,G7,42.6,76.7,90.2,94.9,68.2,95.3,99.9,89.9,70.4,81.0,99.1,95.0,106.5,129.2,95.0,89.0,106.6,
4-L14,ST050631,P1-H1,O1,58.6,77.2,98.2,89.9,70.2,92.1,77.0,85.9,67.7,78.0,66.9,80.7,93.5,84.5,107.5,107.4,62.8,
10-I11,ST071278,P1-H12,O23,61.7,77.8,90.5,93.8,83.5,88.4,51.7,78.5,81.7,91.8,91.8,65.0,89.7,58.5,83.3,132.9,94.5,
109-M12,R539872,P1-F11,K21,55.9,78.1,75.6,56.9,87.1,78.8,86.2,89.4,89.0,98.6,110.3,69.0,124.9,81.7,91.8,91.0,114.4,
66-M19,ST028080,P1-C7,E13,34.3,78.3,101.9,88.5,71.8,83.9,88.8,83.0,72.1,76.1,113.9,78.3,91.3,102.2,123.9,120.6,131.8,
115-E7,S500720,P1-A12,A23,10.9,78.5,101.2,95.0,87.9,78.8,59.6,86.2,82.4,49.3,94.5,71.3,109.0,59.5,81.2,95.9,95.8,
